iter	Passed	Remaining
0	191	191171
1	196	98120
2	215	71609
3	218	54476
4	221	44024
5	234	38801
6	236	33490
7	249	30909
8	254	27988
9	257	25461
10	259	23298
11	265	21828
12	271	20589
13	287	20280
14	292	19209
15	295	18194
16	298	17232
17	301	16448
18	314	16249
19	427	20933
20	465	21685
21	504	22427
22	513	21803
23	521	21207
24	524	20454
25	526	19725
26	549	19800
27	566	19676
28	569	19084
29	577	18682
30	585	18288
31	597	18072
32	600	17602
33	602	17120
34	604	16659
35	606	16228
36	607	15822
37	613	15530
38	617	15208
39	620	14893
40	622	14555
41	627	14302
42	629	13999
43	630	13709
44	633	13437
45	635	13172
46	637	12916
47	638	12670
48	642	12472
49	645	12261
50	647	12048
51	649	11839
52	651	11646
53	656	11509
54	660	11345
55	662	11173
56	665	11002
57	667	10840
58	671	10705
59	673	10550
60	675	10396
61	677	10248
62	679	10102
63	681	9969
64	683	9833
65	687	9725
66	689	9599
67	691	9475
68	693	9361
69	695	9243
70	697	9129
71	704	9077
72	706	8968
73	708	8863
74	710	8758
75	711	8654
76	715	8582
77	717	8483
78	719	8389
79	721	8300
80	723	8212
81	725	8125
82	726	8030
83	731	7978
84	734	7904
85	736	7828
86	739	7762
87	741	7687
88	745	7632
89	748	7569
90	750	7498
91	752	7429
92	754	7358
93	756	7291
94	760	7248
95	762	7182
96	764	7118
97	766	7056
98	768	6995
99	770	6936
100	775	6904
101	779	6866
102	781	6806
103	784	6759
104	786	6704
105	790	6669
106	793	6619
107	796	6574
108	798	6530
109	800	6479
110	802	6428
111	806	6391
112	807	6341
113	809	6292
114	811	6244
115	813	6196
116	814	6147
117	816	6100
118	818	6057
119	821	6023
120	824	5987
121	825	5942
122	827	5899
123	829	5859
124	831	5822
125	838	5815
126	840	5775
127	842	5736
128	844	5700
129	848	5679
130	851	5647
131	853	5611
132	855	5573
133	857	5539
134	859	5504
135	864	5489
136	866	5457
137	870	5438
138	873	5408
139	874	5374
140	880	5364
141	882	5331
142	884	5301
143	886	5270
144	888	5237
145	890	5208
146	895	5193
147	898	5169
148	904	5167
149	908	5148
150	911	5124
151	913	5096
152	915	5067
153	917	5038
154	918	5008
155	925	5007
156	927	4981
157	934	4980
158	939	4969
159	941	4941
160	943	4914
161	945	4888
162	947	4862
163	948	4837
164	952	4822
165	955	4800
166	958	4779
167	959	4752
168	961	4729
169	964	4708
170	968	4696
171	972	4680
172	976	4666
173	979	4647
174	986	4648
175	988	4628
176	991	4609
177	993	4589
178	1000	4590
179	1003	4571
180	1005	4549
181	1009	4539
182	1015	4535
183	1018	4514
184	1020	4493
185	1024	4481
186	1030	4480
187	1032	4459
188	1035	4444
189	1038	4425
190	1040	4409
191	1049	4415
192	1051	4395
193	1053	4377
194	1056	4360
195	1062	4359
196	1066	4346
197	1069	4331
198	1071	4312
199	1083	4332
